Package,LibPath,Version,Priority,Built
xml2,C:/Users/ds93656/Documents/R/win-library/3.3,1.2.0,NA,3.3.3
xtable,C:/Users/ds93656/Documents/R/win-library/3.3,1.8-2,NA,3.3.3
yaml,C:/Users/ds93656/Documents/R/win-library/3.3,2.1.18,NA,3.3.3
zoo,C:/Users/ds93656/Documents/R/win-library/3.3,1.8-1,NA,3.3.3
base,C:/Program Files/R/R-3.3.3/library,3.3.3,base,3.3.3
boot,C:/Program Files/R/R-3.3.3/library,1.3-18,recommended,3.3.3
class,C:/Program Files/R/R-3.3.3/library,7.3-14,recommended,3.3.3
cluster,C:/Program Files/R/R-3.3.3/library,2.0.5,recommended,3.3.3
codetools,C:/Program Files/R/R-3.3.3/library,0.2-15,recommended,3.3.3
compiler,C:/Program Files/R/R-3.3.3/library,3.3.3,base,3.3.3
datasets,C:/Program Files/R/R-3.3.3/library,3.3.3,base,3.3.3
foreign,C:/Program Files/R/R-3.3.3/library,0.8-67,recommended,3.3.3
graphics,C:/Program Files/R/R-3.3.3/library,3.3.3,base,3.3.3
grDevices,C:/Program Files/R/R-3.3.3/library,3.3.3,base,3.3.3
grid,C:/Program Files/R/R-3.3.3/library,3.3.3,base,3.3.3
KernSmooth,C:/Program Files/R/R-3.3.3/library,2.23-15,recommended,3.3.3
lattice,C:/Program Files/R/R-3.3.3/library,0.20-34,recommended,3.3.3
MASS,C:/Program Files/R/R-3.3.3/library,7.3-45,recommended,3.3.3
Matrix,C:/Program Files/R/R-3.3.3/library,1.2-8,recommended,3.3.3
methods,C:/Program Files/R/R-3.3.3/library,3.3.3,base,3.3.3
mgcv,C:/Program Files/R/R-3.3.3/library,1.8-17,recommended,3.3.3
nlme,C:/Program Files/R/R-3.3.3/library,3.1-131,recommended,3.3.3
nnet,C:/Program Files/R/R-3.3.3/library,7.3-12,recommended,3.3.3
parallel,C:/Program Files/R/R-3.3.3/library,3.3.3,base,3.3.3
rpart,C:/Program Files/R/R-3.3.3/library,4.1-10,recommended,3.3.3
spatial,C:/Program Files/R/R-3.3.3/library,7.3-11,recommended,3.3.3
splines,C:/Program Files/R/R-3.3.3/library,3.3.3,base,3.3.3
stats,C:/Program Files/R/R-3.3.3/library,3.3.3,base,3.3.3
stats4,C:/Program Files/R/R-3.3.3/library,3.3.3,base,3.3.3
survival,C:/Program Files/R/R-3.3.3/library,2.40-1,recommended,3.3.3
tcltk,C:/Program Files/R/R-3.3.3/library,3.3.3,base,3.3.3
tools,C:/Program Files/R/R-3.3.3/library,3.3.3,base,3.3.3
translations,C:/Program Files/R/R-3.3.3/library,3.3.3,NA,3.3.3
utils,C:/Program Files/R/R-3.3.3/library,3.3.3,base,3.3.3
